iter	Logloss
0	0.6919980089
1	0.6904778072
2	0.6890847366
3	0.6882467247
4	0.6870594824
5	0.6860986785
6	0.6852934257
7	0.684298073
8	0.6831556303
9	0.6812059821
10	0.6801778705
11	0.6790951967
12	0.6777682948
13	0.6769694418
14	0.675938781
15	0.675041163
16	0.6734981277
17	0.6727458099
18	0.671819826
19	0.6710685929
20	0.670262418
21	0.6690091154
22	0.6681575443
23	0.6672592211
24	0.6663975078
25	0.6655156726
26	0.6646456611
27	0.6636402204
28	0.6629079159
29	0.6618225302
30	0.6609610338
31	0.6603444706
32	0.659508357
33	0.6585617089
34	0.6576721179
35	0.6567090903
36	0.6560182769
37	0.6553579988
38	0.6546222232
39	0.6532103324
40	0.6527659707
41	0.6518686239
42	0.6513109075
43	0.650326836
44	0.6489696701
45	0.6482329724
46	0.647471597
47	0.6465617215
48	0.6451152276
49	0.6439380734
50	0.6432243721
51	0.6418615655
52	0.6410385772
53	0.6403786245
54	0.6396796214
55	0.63925088
56	0.638558331
57	0.6375212161
58	0.6368618058
59	0.6361632365
60	0.6356343198
61	0.6350753017
62	0.6342030122
63	0.6329408148
64	0.6319183438
65	0.631174758
66	0.6305058563
67	0.6295829097
68	0.6287275963
69	0.6282010118
70	0.62762236
71	0.6269718445
72	0.6265829671
73	0.6260407624
74	0.6254742054
75	0.624804002
76	0.624145134
77	0.623611553
78	0.623253482
79	0.6229934711
80	0.6225305063
81	0.6218703367
82	0.6207451412
83	0.6202831527
84	0.6200591549
85	0.6195160824
86	0.6189057564
87	0.618549638
88	0.6181725841
89	0.6178676652
90	0.6172900439
91	0.6165653868
92	0.6159637386
93	0.6154667131
94	0.6145616104
95	0.6138963968
96	0.6136804261
97	0.6132263018
98	0.6127654522
99	0.6120240902
100	0.6113934254
101	0.6111228925
102	0.6104083777
103	0.6099669991
104	0.6092323082
105	0.608426296
106	0.6077858686
107	0.6073889641
108	0.6066167414
109	0.6056740526
110	0.6053755878
111	0.6049581276
112	0.6047442179
113	0.6044517734
114	0.6041459866
115	0.6038189391
116	0.6032797174
117	0.6026215003
118	0.6021842437
119	0.6012601581
120	0.6010614347
121	0.6005001929
122	0.5997535157
123	0.5992730867
124	0.5987085364
125	0.5982380869
126	0.5976702825
127	0.5975004672
128	0.5971305727
129	0.5965826189
130	0.5959645912
131	0.5955641614
132	0.5951234878
133	0.594797742
134	0.5943310891
135	0.593945737
136	0.5935899982
137	0.592717546
138	0.59195693
139	0.5915730423
140	0.5911400162
141	0.5902322558
142	0.5898889373
143	0.5895523983
144	0.5888521477
145	0.5880756403
146	0.5877921991
147	0.5874191045
148	0.5871601241
149	0.5869349332
150	0.586260445
151	0.586013234
152	0.5856461597
153	0.5852262589
154	0.5847039591
155	0.5844368431
156	0.5838709912
157	0.5834338431
158	0.583008627
159	0.5826049972
160	0.5823162408
161	0.5821089479
162	0.5817263077
163	0.5807337754
164	0.5803982669
165	0.5800657414
166	0.5798954381
167	0.5795492992
168	0.5791544557
169	0.5788300115
170	0.5786041697
171	0.5783201862
172	0.5779225766
173	0.5774928589
174	0.5771176491
175	0.5768591568
176	0.5761808722
177	0.5757544629
178	0.5756556436
179	0.5753910767
180	0.5751342115
181	0.5748911767
182	0.5746411453
183	0.5743619888
184	0.5740247448
185	0.5738808004
186	0.5737986318
187	0.5733473821
188	0.5730869915
189	0.5728614751
190	0.5723444905
191	0.5719268676
192	0.5715414613
193	0.5709463758
194	0.5705418782
195	0.5702815961
196	0.5701102622
197	0.5697195407
198	0.5694352317
199	0.5690256359
200	0.5684520281
201	0.5681695631
202	0.5679678567
203	0.5677696214
204	0.5676248093
205	0.567370439
206	0.5671468752
207	0.5669093725
208	0.5667630417
209	0.5664611058
210	0.5662101524
211	0.5655856163
212	0.5654576176
213	0.5652919786
214	0.5650601165
215	0.5648613389
216	0.5646023585
217	0.5641377123
218	0.5637938514
219	0.5634383838
220	0.5630675129
221	0.5627257672
222	0.562541742
223	0.5620286624
224	0.5616330054
225	0.5613354084
226	0.560941975
227	0.5604648002
228	0.560269114
229	0.5599695103
230	0.5598342981
231	0.559649622
232	0.5592944256
233	0.5588834195
234	0.5587111094
235	0.5584386783
236	0.5580985054
237	0.5578790636
238	0.5575367755
239	0.5572664596
240	0.5569518865
241	0.556652337
242	0.5565085554
243	0.5561805315
244	0.5559554491
245	0.5558256063
246	0.5553484857
247	0.554974198
248	0.5545426904
249	0.5543905021
250	0.5541533791
251	0.5537871184
252	0.5534286678
253	0.5532521272
254	0.5531232065
255	0.5526054625
256	0.5521967344
257	0.5520725865
258	0.5517766167
259	0.5513722817
260	0.5512237273
261	0.5510433902
262	0.5507917859
263	0.550578527
264	0.5504592062
265	0.5500966878
266	0.5500079565
267	0.5498604326
268	0.5495571407
269	0.5492918688
270	0.5489369978
271	0.5486667362
272	0.5485010429
273	0.5482665775
274	0.5478632188
275	0.5475187613
276	0.5468422122
277	0.5467439895
278	0.5465977672
279	0.5463649831
280	0.5458323783
281	0.5456282312
282	0.5454732226
283	0.5451984593
284	0.5449424076
285	0.5445999026
286	0.5442204081
287	0.5440034069
288	0.5437996937
289	0.5437055388
290	0.5435023679
291	0.5431777068
292	0.5430344133
293	0.5428450186
294	0.5422516687
295	0.5420044034
296	0.5417359857
297	0.5414388769
298	0.5413176035
299	0.5411146496
300	0.5409594783
301	0.5408062595
302	0.5404307243
303	0.5401989165
304	0.5399252379
305	0.539689742
306	0.5394482258
307	0.5392281331
308	0.5389478918
309	0.5388123
310	0.5385533195
311	0.5383394641
312	0.5380919276
313	0.5377551174
314	0.5376690437
315	0.5373511622
316	0.5372284244
317	0.5368999125
318	0.5366692979
319	0.5365373399
320	0.536231065
321	0.5359578203
322	0.5357536732
323	0.5356811587
324	0.5353061659
325	0.5351969873
326	0.5348130996
327	0.534532316
328	0.5344041004
329	0.5342678577
330	0.5341175134
331	0.5339059359
332	0.5334829978
333	0.5332606272
334	0.5330323447
335	0.5328444144
336	0.5327258529
337	0.5324630217
338	0.5322895726
339	0.5320897102
340	0.5317177004
341	0.5315696341
342	0.5313395618
343	0.531213841
344	0.5311458824
345	0.5308941155
346	0.5306674601
347	0.5305697797
348	0.5301806311
349	0.5300350597
350	0.5299506673
351	0.529826411
352	0.5295770847
353	0.529359053
354	0.529044046
355	0.5289627993
356	0.5288704342
357	0.5286764836
358	0.5284917532
359	0.5283987915
360	0.5283203109
361	0.5281402449
362	0.5279396232
363	0.5276575379
364	0.5272417591
365	0.5267591606
366	0.5264789193
367	0.5263519511
368	0.5262123457
369	0.5258606205
370	0.5256727444
