iter	Passed	Remaining
0	6	6105
1	13	6655
2	19	6433
3	25	6280
4	32	6538
5	39	6501
6	45	6524
7	53	6628
8	59	6526
9	66	6558
10	72	6550
11	80	6608
12	86	6556
13	92	6511
14	99	6520
15	105	6478
16	112	6502
17	118	6463
18	124	6419
19	131	6457
20	137	6429
21	146	6490
22	151	6445
23	158	6426
24	164	6432
25	171	6412
26	178	6450
27	184	6415
28	191	6397
29	197	6392
30	203	6360
31	211	6390
32	217	6359
33	224	6368
34	230	6353
35	238	6388
36	247	6446
37	254	6446
38	261	6442
39	267	6431
40	274	6428
41	280	6401
42	286	6386
43	294	6408
44	301	6402
45	309	6414
46	315	6393
47	323	6412
48	329	6391
49	335	6366
50	342	6380
51	351	6416
52	359	6423
53	365	6407
54	372	6400
55	380	6410
56	386	6397
57	393	6386
58	399	6371
59	407	6383
60	413	6358
61	420	6356
62	426	6342
63	432	6323
64	440	6341
65	447	6336
66	455	6345
67	461	6323
68	467	6308
69	474	6309
70	480	6291
71	488	6298
72	495	6289
73	502	6289
74	508	6269
75	514	6252
76	521	6249
77	526	6229
78	534	6235
79	540	6219
80	546	6204
81	553	6201
82	560	6192
83	567	6186
84	574	6185
85	580	6171
86	590	6196
87	596	6180
88	603	6175
89	609	6159
90	624	6237
91	630	6222
92	638	6225
93	644	6212
94	652	6219
95	659	6206
96	666	6209
97	672	6191
98	678	6176
99	686	6175
100	693	6176
101	703	6196
102	710	6187
103	718	6189
104	724	6175
105	732	6176
106	738	6163
107	745	6160
108	751	6145
109	757	6131
110	765	6130
111	771	6115
112	778	6112
113	786	6114
114	794	6112
115	800	6098
116	806	6084
117	813	6082
118	819	6068
119	826	6059
120	832	6047
121	838	6034
122	846	6033
123	852	6019
124	858	6007
125	865	6002
126	871	5987
127	878	5987
128	884	5973
129	890	5960
130	897	5956
131	903	5943
132	911	5943
133	917	5930
134	924	5923
135	930	5913
136	940	5926
137	946	5915
138	952	5901
139	960	5899
140	966	5885
141	972	5877
142	980	5875
143	986	5861
144	994	5863
145	1000	5852
146	1008	5851
147	1014	5837
148	1020	5827
149	1027	5820
150	1034	5815
151	1042	5818
152	1048	5805
153	1057	5810
154	1063	5798
155	1070	5790
156	1076	5779
157	1082	5768
158	1089	5761
159	1096	5757
160	1103	5749
161	1109	5737
162	1114	5725
163	1122	5722
164	1128	5709
165	1134	5700
166	1141	5692
167	1146	5679
168	1154	5677
169	1161	5669
170	1167	5658
171	1173	5650
172	1179	5636
173	1187	5637
174	1193	5625
175	1199	5615
176	1207	5613
177	1213	5602
178	1221	5601
179	1226	5589
180	1234	5584
181	1240	5573
182	1245	5561
183	1253	5559
184	1259	5548
185	1266	5543
186	1272	5532
187	1278	5523
188	1289	5531
189	1296	5525
190	1302	5518
191	1309	5512
192	1317	5509
193	1323	5498
194	1332	5498
195	1338	5489
196	1344	5478
197	1352	5476
198	1357	5465
199	1365	5462
200	1371	5453
201	1377	5443
202	1386	5443
203	1394	5441
204	1402	5437
205	1412	5444
206	1425	5459
207	1436	5471
208	1447	5477
209	1455	5477
210	1464	5475
211	1471	5469
212	1479	5467
213	1486	5459
214	1494	5457
215	1501	5450
216	1512	5458
217	1522	5462
218	1530	5458
219	1536	5446
220	1543	5441
221	1549	5430
222	1556	5422
223	1563	5416
224	1569	5405
225	1576	5399
226	1582	5388
227	1588	5376
228	1595	5371
229	1601	5361
230	1608	5356
231	1615	5346
232	1621	5337
233	1628	5331
234	1636	5326
235	1645	5326
236	1651	5316
237	1659	5312
238	1665	5304
239	1673	5300
240	1680	5293
241	1687	5286
242	1695	5280
243	1700	5269
244	1709	5267
245	1714	5256
246	1721	5246
247	1729	5243
248	1734	5232
249	1743	5229
250	1749	5220
251	1757	5216
252	1763	5206
253	1769	5197
254	1775	5188
255	1781	5177
256	1790	5175
257	1797	5169
258	1808	5173
259	1814	5163
260	1821	5156
261	1828	5151
262	1835	5144
263	1841	5134
264	1847	5125
265	1855	5120
266	1861	5111
267	1868	5104
268	1874	5094
269	1880	5084
270	1888	5079
271	1893	5069
272	1901	5062
273	1907	5053
274	1912	5043
275	1920	5038
276	1926	5028
277	1933	5020
278	1940	5013
279	1945	5003
280	1953	4999
281	1959	4989
282	1967	4983
283	1972	4973
284	1978	4964
285	1986	4959
286	1992	4949
287	1999	4944
288	2005	4934
289	2011	4924
290	2018	4918
291	2024	4908
292	2032	4904
293	2040	4898
294	2047	4893
295	2053	4883
296	2059	4874
297	2066	4869
298	2076	4868
299	2083	4862
300	2089	4852
301	2097	4848
302	2103	4839
303	2109	4830
304	2118	4828
305	2124	4818
306	2132	4813
307	2138	4805
308	2146	4800
309	2152	4791
310	2158	4782
311	2165	4775
312	2173	4770
313	2182	4767
314	2188	4758
315	2196	4755
316	2202	4745
317	2210	4740
318	2216	4730
319	2221	4721
320	2229	4716
321	2235	4707
322	2242	4701
323	2250	4694
324	2256	4686
325	2263	4680
326	2269	4671
327	2278	4669
328	2285	4661
329	2293	4656
330	2299	4647
331	2305	4638
332	2312	4631
333	2318	4623
334	2326	4618
335	2332	4609
336	2339	4602
337	2347	4598
338	2353	4589
339	2360	4582
340	2366	4573
341	2374	4569
342	2380	4560
343	2386	4551
344	2394	4546
345	2400	4537
346	2408	4533
347	2414	4523
348	2422	4519
349	2430	4514
350	2439	4511
351	2446	4502
352	2453	4496
353	2459	4489
354	2465	4480
355	2473	4474
356	2481	4469
357	2489	4464
358	2496	4457
359	2504	4452
360	2510	4443
361	2516	4435
362	2523	4427
363	2529	4419
364	2539	4418
365	2547	4412
366	2554	4405
367	2560	4398
368	2568	4391
369	2574	4383
370	2579	4374
371	2587	4368
372	2593	4359
373	2600	4352
374	2607	4346
375	2613	4337
376	2621	4332
377	2627	4323
378	2635	4317
379	2641	4310
380	2650	4305
381	2656	4297
382	2663	4291
383	2670	4284
384	2676	4275
385	2684	4270
386	2690	4261
387	2697	4255
388	2703	4247
389	2710	4238
390	2717	4233
391	2723	4224
392	2731	4219
393	2737	4210
394	2744	4203
395	2751	4196
396	2757	4188
397	2764	4181
398	2772	4175
399	2779	4169
400	2785	4161
401	2797	4161
402	2803	4153
403	2809	4144
404	2816	4138
405	2822	4129
406	2830	4124
407	2837	4117
408	2845	4111
409	2851	4103
410	2857	4095
411	2864	4088
412	2870	4079
413	2877	4072
414	2884	4066
415	2893	4061
416	2902	4057
417	2910	4051
418	2915	4043
419	2922	4035
420	2929	4028
421	2935	4020
422	2942	4014
423	2948	4005
424	2954	3997
425	2961	3990
426	2968	3982
427	2974	3975
428	2982	3969
429	2987	3960
430	2994	3953
431	3000	3945
432	3008	3939
433	3015	3932
434	3021	3923
435	3027	3916
